service_ticket_id,ticket_number,truck_id,trip_id,fault_code_spn,fault_code_fmi,fault_description,severity,status,reported_at,resolved_at,latitude,longitude,repair_notes,cost_usd
f0fd3fec-6ce5-4f20-afcc-c93f43b740d1,SVC-40011,0112d5b7-0e91-4ac5-bbfe-224af3f59bda,,171,0,Ambient Air Temperature - Above Normal Operating Range,info,closed,2026-01-22T06:00:00Z,2026-01-23T22:00:00Z,36.0488,-75.2687,Component replaced under warranty.,7384.1
a955b592-2562-4aed-8c32-3f805578d19c,SVC-40012,f274bfe0-0737-448d-b544-c8b2f894188a,7568e6de-d656-4eba-bb96-b9f4304911e9,171,0,Ambient Air Temperature - Above Normal Operating Range,info,in_progress,2026-02-01T08:00:00Z,,30.874,-98.6793,,
c4e25feb-8046-4191-8688-5c41038d9eda,SVC-40013,de1c7432-0aad-47db-a9a4-57391fffc17e,28941ae3-0a27-4d84-940d-39faa9a756b9,100,1,Engine Oil Pressure - Below Normal Operating Range,critical,closed,2026-02-01T04:00:00Z,2026-02-01T22:00:00Z,43.7899,-90.5088,Temporary repair performed. Truck routed to nearest terminal.,2146.42
11bd47a7-baa5-4a5b-8a82-df0c4d81eb9d,SVC-40014,21a46452-3bc4-4d4a-8bab-f57edef90c07,,190,2,Engine Speed - Erratic/Intermittent,warning,closed,2026-02-13T10:00:00Z,2026-02-15T10:00:00Z,43.1664,-88.1406,Cleared fault code after inspection — intermittent issue.,7758.99
8452f48f-db70-446e-9a35-1a82e2f67e95,SVC-40015,c3c447c1-0a62-4f2c-ae63-9e0668439099,,91,3,Throttle Position - Voltage Above Normal,warning,open,2026-01-26T01:00:00Z,,35.3222,-104.3587,,
8bdb753c-09e6-42ed-8b66-a87c258fe12d,SVC-40016,d5803896-6365-4493-8dc5-def65e279c55,662f3cb9-a3a8-438a-983f-2ae96ece214e,100,1,Engine Oil Pressure - Below Normal Operating Range,critical,closed,2026-02-14T15:00:00Z,2026-02-14T23:00:00Z,43.3855,-120.4296,Replaced faulty sensor. Road test passed.,2866.1
45f723e4-2169-49be-b58a-09a14440fb47,SVC-40017,08e4940d-19b7-41ce-8741-ba79b8b80108,38bcc74b-c8f5-4450-8b2c-148398833dd6,100,1,Engine Oil Pressure - Below Normal Operating Range,critical,closed,2026-02-11T12:00:00Z,2026-02-13T05:00:00Z,38.8468,-79.7882,Cleared fault code after inspection — intermittent issue.,5695.14
321fd046-437b-41cc-a05f-ba38ba324cb9,SVC-40018,fe6cf675-e297-4987-9dbc-7d28b2024d36,0030ffe1-5900-4abd-a708-f9de6b6a307f,171,0,Ambient Air Temperature - Above Normal Operating Range,info,closed,2026-02-11T04:00:00Z,2026-02-11T18:00:00Z,45.0156,-114.6161,Cleared fault code after inspection — intermittent issue.,5638.13
05d09b6c-cba4-4bad-a719-92101d8a3e80,SVC-40019,0112d5b7-0e91-4ac5-bbfe-224af3f59bda,,190,2,Engine Speed - Erratic/Intermittent,warning,closed,2026-01-29T17:00:00Z,2026-01-31T02:00:00Z,34.3532,-117.492,Temporary repair performed. Truck routed to nearest terminal.,625.14
cec41f9f-d752-4b58-ad9d-33cae2e2cc26,SVC-40020,7eb9ab99-1df7-4bb0-871a-242c20e6a679,,100,1,Engine Oil Pressure - Below Normal Operating Range,critical,closed,2026-01-20T21:00:00Z,2026-01-21T05:00:00Z,34.3019,-90.885,Replaced faulty sensor. Road test passed.,1814.23
a76debc2-16a4-4010-bf64-ea30d7308620,SVC-40021,d31bc42e-b9a3-40ea-81f7-7b6b69dfde69,,100,1,Engine Oil Pressure - Below Normal Operating Range,critical,closed,2026-01-29T12:00:00Z,2026-01-31T08:00:00Z,37.5243,-116.5711,Component replaced under warranty.,910.87
ffbcb95c-d8c2-46fb-9f60-396af011dcfe,SVC-40022,1390accb-1574-47c0-96d7-32a6ae0ad0ef,,111,0,Coolant Level - Above Normal Operating Range (Low Level),critical,closed,2026-02-07T12:00:00Z,2026-02-08T06:00:00Z,35.6784,-104.0721,Cleared fault code after inspection — intermittent issue.,3827.45
9b74d0b2-8c1d-49a6-acea-cf6d410e45f6,SVC-40023,7ee05f2c-65f5-4e84-8915-5dcf65c364fb,,171,0,Ambient Air Temperature - Above Normal Operating Range,info,closed,2026-01-18T00:00:00Z,2026-01-19T20:00:00Z,30.1095,-86.6449,Component replaced under warranty.,6503.81
cc1a4f4e-83bf-4b6a-86b4-e83253439559,SVC-40024,c3c447c1-0a62-4f2c-ae63-9e0668439099,,168,1,Battery Voltage - Below Normal Operating Range,warning,closed,2026-01-24T04:00:00Z,2026-01-25T16:00:00Z,30.0977,-103.806,,6961.77
4c6d6d2f-e419-4136-b4dd-1d6bb93e2735,SVC-40025,7149287a-e166-429a-94b2-8128e5ea5066,eb859f1f-8da4-4c30-b046-c348be6b235c,84,2,Vehicle Speed Sensor - Erratic/Intermittent,warning,closed,2026-02-14T00:00:00Z,2026-02-15T11:00:00Z,34.3793,-103.4442,Major repair required. Truck towed to terminal.,5484.77
